Feature,Importance
employee_residence,0.5506584060690315
job_title,0.16527383922906505
company_location,0.10212459478677548
experience_level,0.10129208415936594
work_year,0.03838334837655955
remote_ratio,0.02873234391894194
employment_type_FT,0.004921780188513859
employment_type_PT,0.003900409973145135
employment_type_CT,0.0035685201020273743
employment_type_FL,0.0011446731965741867
